Taxa,Year,Prod,FMFO_inclusion,Animal_inclusion,Crop_inclusion,Total_prod,TL_taxon_year
FW fishes,2002,291000,0.5,0.010799370956096684,0.48920062904390327,16208000,3.0574434819174217
FW fishes,2003,842000,0.5,0.012052537002174362,0.48794746299782565,18601000,3.093400411628287
FW fishes,2004,948000,0.5,0.013450384182204416,0.48654961581779554,19443000,3.0761888066298897
FW fishes,2005,1064000,0.5,0.015009531284758704,0.4849904687152413,20982000,3.0786642732378797
FW fishes,2006,1163000,0.45,0.01674849626018797,0.533251503739812,22719000,2.985185753729991
FW fishes,2007,1331000,0.45,0.01868791213948424,0.5313120878605158,24892000,2.9825857860203127
FW fishes,2010,1660000,0.39,0.025952162115273264,0.5840478378847267,30414000,2.8561312675211994
FW fishes,2015,2691000,0.28,0.044811464400003595,0.6751885355999964,43233000,2.6426452182464746
Eels,1995,188000,0.73,9.999999999999962e-6,0.26999000000000006,9092000,3.5445335167252763
Eels,1996,234000,0.73,9.999999999999962e-6,0.26999000000000006,10293000,3.538052916172831
Eels,1997,234000,0.72,9.999999999999962e-6,0.27999000000000007,11477000,3.5214799920511646
Eels,1998,226000,0.69,9.999999999999962e-6,0.3099900000000001,12502000,3.496415179036099
Eels,1999,219000,0.69,9.999999999999962e-6,0.3099900000000001,13850000,3.439561086394778
Eels,2000,212000,0.68,9.999999999999962e-6,0.31999,13944000,3.4099505702287196
Eels,2001,210000,0.68,9.999999999999962e-6,0.31999,15193000,3.449164571257068
Eels,2002,210000,0.66,9.999999999999962e-6,0.33999,16208000,3.380155709502744
Eels,2003,210000,0.66,9.999999999999962e-6,0.33999,18601000,3.425799259622181
Eels,2004,224000,0.65,9.999999999999962e-6,0.34999,19443000,3.3798223992383045
Eels,2005,217000,0.65,9.999999999999962e-6,0.34999,20982000,3.3808109254720384
Eels,2006,239000,0.6,9.999999999999962e-6,0.39999000000000007,22719000,3.289027543791712
Eels,2007,273000,0.55,9.999999999999962e-6,0.44999,24892000,3.17582432325952
Eels,2010,271000,0.49,9.999999999999962e-6,0.5099899999999999,30414000,3.0397958864237316
Eels,2015,241000,0.38,9.999999999999962e-6,0.61999,43233000,2.805275252908782
Milkfish,1995,366000,0.18,0.005000000000001508,0.8149999999999985,9092000,2.386341168507604
Milkfish,1996,371000,0.17,0.005607782709264871,0.8243922172907351,10293000,2.3643427058423576
Milkfish,1997,364000,0.16,0.006289084006108625,0.8337109159938914,11477000,2.345022212862534
Milkfish,1998,380000,0.14,0.007052753176000832,0.8529472468239991,12502000,2.311376267718317
Milkfish,1999,442000,0.13,0.007908699424625977,0.8620913005753741,13850000,2.279919150861757
Milkfish,2000,468000,0.12,0.00886801820124348,0.8711319817987565,13944000,2.258567685355848
